Release,Calendar Gross,Max Theaters,Total Gross,Release Date,Distributor,URL,Budget,Genres,MPAA,IMDB_ID,Rating,Votes
Star Wars: Episode IV - A New Hope,"$195,666,111","1,750","$307,263,857",May 25,"Twentieth Century Fox

",https://www.boxofficemojo.com/release/rl2759034369/,11000000,Action Adventure Fantasy Sci-Fi,PG,tt0076759,8.6,1208482
Close Encounters of the Third Kind,"$16,172,445",650,"$116,395,460",Nov 16,"Columbia Pictures

",https://www.boxofficemojo.com/release/rl340428289/,20000000,Drama Sci-Fi,,tt0075860,7.6,181319
Grease,"$159,978,870 ",862,"$159,978,870 ",16-Jun,"Paramount Pictures

",https://www.boxofficemojo.com/release/rl2052556289/,6000000,Musical Romance,PG,tt0077631,7.2,234922
Close Encounters of the Third Kind,"$91,700,143 ",650,"$116,395,460 ",16-Nov,"Columbia Pictures

",https://www.boxofficemojo.com/release/rl340428289/,20000000,Drama Sci-Fi,,tt0075860,7.6,181319
Star Wars: Episode IV - A New Hope,"$30,676,545 ","1,750","$307,263,857 ",25-May,"Twentieth Century Fox

",https://www.boxofficemojo.com/release/rl2759034369/,11000000,Action Adventure Fantasy Sci-Fi,PG,tt0076759,8.6,1208482
Superman,"$30,561,867 ",817,"$134,218,018 ",15-Dec,"Warner Bros.

",https://www.boxofficemojo.com/release/rl4050814465/,55000000,Action Adventure Drama Sci-Fi,PG,tt0078346,7.3,156895
Superman,"$93,292,767",817,"$134,218,018",Dec 15,"Warner Bros.

",https://www.boxofficemojo.com/release/rl4050814465/,55000000,Action Adventure Drama Sci-Fi,PG,tt0078346,7.3,156895
Star Trek: The Motion Picture,"$82,258,456","1,002","$82,258,456",Dec 7,"Paramount Pictures

",https://www.boxofficemojo.com/release/rl2977138177/,35000000,Adventure Mystery Sci-Fi,G,tt0079945,6.4,80200
Alien,"$78,944,891",757,"$78,944,891",May 25,"Twentieth Century Fox

",https://www.boxofficemojo.com/release/rl3443557889/,11000000,Horror Sci-Fi,R,tt0078748,8.4,772380
1941,"$31,755,742",325,"$31,755,742",Dec 14,"Universal Pictures

",https://www.boxofficemojo.com/release/rl2034337281/,35000000,Action Comedy War,,tt0078723,5.8,30912
The Prisoner of Zenda,"$7,650,600",417,"$7,650,600",May 25,"Universal Pictures

",https://www.boxofficemojo.com/release/rl3714811393/,12500000,Adventure Comedy,,tt0079753,5.2,1052
Star Wars: Episode IV - A New Hope,"$6,760,165","1,750","$307,263,857",May 25,"Twentieth Century Fox

",https://www.boxofficemojo.com/release/rl2759034369/,11000000,Action Adventure Fantasy Sci-Fi,PG,tt0076759,8.6,1208482
Star Wars: Episode V - The Empire Strikes Back,"$203,359,628","1,278","$209,398,025",May 21,"Twentieth Century Fox

",https://www.boxofficemojo.com/release/rl2775811585/,18000000,Action Adventure Fantasy Sci-Fi,PG,tt0080684,8.7,1136625
The Shining,"$44,017,374",10,"$44,017,374",May 23,"Warner Bros.

",https://www.boxofficemojo.com/release/rl3312354817/,19000000,Drama Horror,,tt0081505,8.4,874359
The Island,"$15,716,828",584,"$15,716,828",Jun 13,"Universal Pictures

",https://www.boxofficemojo.com/release/rl1297778177/,22000000,Action Adventure Drama Horror Mystery Thriller,,tt0080934,5.3,3758
Stardust Memories,"$10,389,003",29,"$10,389,003",Sep 26,"United Artists

",https://www.boxofficemojo.com/release/rl1316193793/,10000000,Comedy Drama,,tt0081554,7.3,20846
When Time Ran Out...,"$3,763,988",677,"$3,763,988",Mar 28,"Warner Bros.

",https://www.boxofficemojo.com/release/rl3380119041/,20000000,Action Adventure Drama Thriller,,tt0081747,4.6,2464
Superman II,"$108,185,706","1,878","$108,185,706",Jun 19,"Warner Bros.

",https://www.boxofficemojo.com/release/rl4084368897/,54000000,Action Adventure Sci-Fi,PG,tt0081573,6.8,96742
Raiders of the Lost Ark,"$21,861,910","1,078","$212,222,025",Jun 12,"Paramount Pictures

",https://www.boxofficemojo.com/release/rl4083844609/,18000000,Action Adventure,PG,tt0082971,8.4,868718
Reds,"$3,875,048",644,"$40,382,659",Dec 4,"Paramount Pictures

",https://www.boxofficemojo.com/release/rl1399686657/,32000000,Biography Drama History Romance,,tt0082979,7.3,20475
E.T. the Extra-Terrestrial,"$314,911,094","1,778","$359,197,037",Jun 11,"Universal Pictures

",https://www.boxofficemojo.com/release/rl995132929/,10500000,Family Sci-Fi,PG,tt0083866,7.8,364271
Raiders of the Lost Ark,"$190,360,115","1,078","$212,222,025",Jun 12,"Paramount Pictures

",https://www.boxofficemojo.com/release/rl4083844609/,18000000,Action Adventure,PG,tt0082971,8.4,868718
Star Trek II: The Wrath of Khan,"$78,912,963","1,621","$78,912,963",Jun 4,"Paramount Pictures

",https://www.boxofficemojo.com/release/rl2993915393/,11200000,Action Adventure Sci-Fi,PG,tt0084726,7.7,111116
First Blood,"$47,212,904","1,054","$47,212,904",Oct 22,"Orion Pictures

",https://www.boxofficemojo.com/release/rl2270397953/,15000000,Action Adventure,,tt0083944,7.7,222307
Reds,"$36,507,611",644,"$40,382,659",Dec 4,"Paramount Pictures

",https://www.boxofficemojo.com/release/rl1399686657/,32000000,Biography Drama History Romance,,tt0082979,7.3,20475
Tootsie,"$30,940,676","1,222","$177,200,000",Dec 17,"Columbia Pictures

",https://www.boxofficemojo.com/release/rl645367297/,21000000,Comedy Drama Romance,,tt0084805,7.4,96363
TRON,"$29,759,462","1,112","$33,000,000",Jul 9,"Walt Disney Studios Motion Pictures

",https://www.boxofficemojo.com/release/rl3984033281/,17000000,Action Adventure Sci-Fi,,tt0084827,6.8,111837
Raiders of the Lost Ark1982 Re-release,"$17,791,419","1,330","$21,437,879",Jul 16,"Paramount Pictures

",https://www.boxofficemojo.com/release/rl4100621825/,18000000,Action Adventure,PG,tt0082971,8.4,868718
Quest for Fire,"$15,918,106",426,"$20,959,585",Feb 12,"Twentieth Century Fox

",https://www.boxofficemojo.com/release/rl3010102785/,12500000,Adventure Drama History,,tt0082484,7.3,20421
Star Wars: Episode IV - A New Hope1982 Re-release,"$15,145,617","1,070","$15,476,785",Aug 13,"Twentieth Century Fox

",https://www.boxofficemojo.com/release/rl2725479937/,11000000,Action Adventure Fantasy Sci-Fi,PG,tt0076759,8.6,1208482
Star Wars: Episode V - The Empire Strikes Back1982 Re-release,"$13,276,241","1,006","$13,276,241",Nov 19,"Twentieth Century Fox

",https://www.boxofficemojo.com/release/rl2454816257/,18000000,Action Adventure Fantasy Sci-Fi,PG,tt0080684,8.7,1136625
Private Lessons,"$12,601,577",224,"$26,279,000",Aug 28,-,https://www.boxofficemojo.com/release/rl3597370881/,2800000,Comedy,,tt0082948,5.2,3264
Peter Pan1982 Re-release,"$7,313,669",800,"$17,200,000",Dec 17,"Walt Disney Studios Motion Pictures

",https://www.boxofficemojo.com/release/rl1550353921/,4000000,Adventure Animation Family Fantasy Musical,G,tt0046183,7.3,123700
Inchon,"$5,200,986","1,291","$5,200,986",Sep 17,"Metro-Goldwyn-Mayer (MGM)

",https://www.boxofficemojo.com/release/rl2942010881/,46000000,Drama History War,,tt0084132,2.6,646
Lookin' to Get Out,"$946,461",303,"$946,461",Oct 8,"Paramount Pictures

",https://www.boxofficemojo.com/release/rl3126953473/,17000000,Comedy,R,tt0084268,5.2,659
Star Wars: Episode VI - Return of the Jedi,"$247,371,242","1,764","$252,583,617",May 25,"Twentieth Century Fox

",https://www.boxofficemojo.com/release/rl2792588801/,32500000,Action Adventure Fantasy Sci-Fi,PG,tt0086190,8.3,931716
Tootsie,"$146,259,321","1,222","$177,200,000",Dec 17,"Columbia Pictures

",https://www.boxofficemojo.com/release/rl645367297/,21000000,Comedy Drama Romance,,tt0084805,7.4,96363
Risky Business,"$63,541,777","1,137","$63,541,777",Aug 5,"Warner Bros.

",https://www.boxofficemojo.com/release/rl40666625/,6200000,Comedy Crime Drama Romance,,tt0086200,6.8,79517
E.T. the Extra-Terrestrial,"$44,285,943","1,778","$359,197,037",Jun 11,"Universal Pictures

",https://www.boxofficemojo.com/release/rl995132929/,10500000,Family Sci-Fi,PG,tt0083866,7.8,364271
Terms of Endearment,"$34,003,216","1,259","$108,423,489",Nov 23,"Paramount Pictures

",https://www.boxofficemojo.com/release/rl3245704705/,8000000,Comedy Drama,,tt0086425,7.4,53999
Snow White and the Seven Dwarfs1983 Re-release,"$30,100,000","1,362","$30,100,000",Jul 15,"Walt Disney Studios Motion Pictures

",https://www.boxofficemojo.com/release/rl242255361/,1499000,Animation Family Fantasy Musical Romance,Approved,tt0029583,7.6,177946
Valley Girl,"$17,343,596",442,"$17,343,596",Apr 29,"Atlantic Releasing Corporation

",https://www.boxofficemojo.com/release/rl477726209/,350000,Comedy Romance,,tt0086525,6.4,13163
Spacehunter: Adventures in the Forbidden Zone,"$16,478,265","1,344","$16,478,265",May 20,"Columbia Pictures

",https://www.boxofficemojo.com/release/rl3832579585/,14400000,Action Adventure Sci-Fi,,tt0086346,5.5,5246
Raiders of the Lost Ark1983 Re-release,"$11,374,454",628,"$11,374,454",Mar 25,"Paramount Pictures

",https://www.boxofficemojo.com/release/rl4117399041/,18000000,Action Adventure,PG,tt0082971,8.4,868718
Peter Pan1982 Re-release,"$9,886,325",800,"$17,200,000",Dec 17,"Walt Disney Studios Motion Pictures

",https://www.boxofficemojo.com/release/rl1550353921/,4000000,Adventure Animation Family Fantasy Musical,G,tt0046183,7.3,123700
Running Brave,"$3,000,000",440,"$3,000,000",Nov 4,"Walt Disney Studios Motion Pictures

",https://www.boxofficemojo.com/release/rl963610113/,8000000,Biography Drama Sport,,tt0086220,6.7,634
Rumble Fish,"$2,494,480",296,"$2,494,480",Oct 8,"Universal Pictures

",https://www.boxofficemojo.com/release/rl3429664257/,10000000,Crime Drama Romance,,tt0086216,7.2,31230
Baby It's You,"$1,867,792",30,"$1,867,792",Mar 4,"Paramount Pictures

",https://www.boxofficemojo.com/release/rl2068153857/,3000000,Comedy Drama Romance,,tt0085208,6.3,1678
Screwballs,"$210,000",128,"$2,082,215",Apr 1,"New World Pictures

",https://www.boxofficemojo.com/release/rl3446638081/,800000,Comedy,,tt0086264,4.7,2807
Ghostbusters,"$220,919,997 ","1,506","$229,242,989 ",8-Jun,"Columbia Pictures

",https://www.boxofficemojo.com/release/rl3696592385/,30000000,Action Comedy Fantasy,,tt0087332,7.8,348438
Indiana Jones and the Temple of Doom,"$179,870,271 ","1,687","$179,870,271 ",23-May,"Paramount Pictures

",https://www.boxofficemojo.com/release/rl2455471617/,28000000,Action Adventure,,tt0087469,7.6,439983
Footloose,"$80,035,402 ","1,384","$80,035,402 ",17-Feb,"Paramount Pictures

",https://www.boxofficemojo.com/release/rl2001896961/,8200000,Drama Music Romance,,tt0087277,6.6,68832
Terms of Endearment,"$74,420,269 ","1,259","$108,423,489 ",23-Nov,"Paramount Pictures

",https://www.boxofficemojo.com/release/rl3245704705/,8000000,Comedy Drama,,tt0086425,7.4,53999
The Terminator,"$34,004,606 ","1,112","$38,371,200 ",26-Oct,"Orion Pictures

",https://www.boxofficemojo.com/release/rl3480585729/,6400000,Action Sci-Fi,,tt0088247,8.0,787561
Dune,"$19,015,391 ",975,"$30,925,690 ",14-Dec,"Universal Pictures

",https://www.boxofficemojo.com/release/rl3629024769/,40000000,Action Adventure Sci-Fi,,tt0087182,6.5,124223
The Cotton Club,"$11,848,246 ",809,"$25,928,721 ",14-Dec,"Orion Pictures

",https://www.boxofficemojo.com/release/rl307070465/,58000000,Crime Drama Music,,tt0087089,6.5,16184
Star Wars: Episode VI - Return of the Jedi,"$3,896,542 ","1,764","$252,583,617 ",25-May,"Twentieth Century Fox

",https://www.boxofficemojo.com/release/rl2792588801/,32500000,Action Adventure Fantasy Sci-Fi,PG,tt0086190,8.3,931716
Sahara,"$1,402,962 ",344,"$1,402,962 ",2-Mar,"Metro-Goldwyn-Mayer (MGM)

",https://www.boxofficemojo.com/release/rl2104460801/,25000000,Adventure Drama,,tt0086232,5.0,1375
Back to the Future,"$190,581,407","1,550","$210,609,762",Jul 3,"Universal Pictures

",https://www.boxofficemojo.com/release/rl2974385665/,19000000,Adventure Comedy Sci-Fi,,tt0088763,8.5,1033008
E.T. the Extra-Terrestrial1985 Re-release,"$40,607,502","1,701","$40,607,502",Jul 19,"Universal Pictures

",https://www.boxofficemojo.com/release/rl1028687361/,10500000,Family Sci-Fi,PG,tt0083866,7.8,364271
Santa Claus: The Movie,"$22,614,723","1,585","$23,717,291",Nov 27,"TriStar Pictures

",https://www.boxofficemojo.com/release/rl1114605057/,50000000,Adventure Family Fantasy,,tt0089961,6.3,11197
The Care Bears Movie,"$18,772,584","1,003","$22,934,622",Mar 29,"The Samuel Goldwyn Company

",https://www.boxofficemojo.com/release/rl1514702337/,2000000,Adventure Animation Comedy Family Fantasy Musical,,tt0088885,5.7,5106
The Cotton Club,"$14,080,475",809,"$25,928,721",Dec 14,"Orion Pictures

",https://www.boxofficemojo.com/release/rl307070465/,58000000,Crime Drama Music,,tt0087089,6.5,16184
Dune,"$11,910,299",975,"$30,925,690",Dec 14,"Universal Pictures

",https://www.boxofficemojo.com/release/rl3629024769/,40000000,Action Adventure Sci-Fi,,tt0087182,6.5,124223
Star Wars: Episode VI - Return of the Jedi1985 Re-release,"$11,252,123",894,"$11,252,123",Mar 29,"Twentieth Century Fox

",https://www.boxofficemojo.com/release/rl4067264001/,32500000,Action Adventure Fantasy Sci-Fi,PG,tt0086190,8.3,931716
Ghostbusters1985 Re-release,"$9,389,135",990,"$9,389,135",Aug 23,"Columbia Pictures

",https://www.boxofficemojo.com/release/rl3663037953/,30000000,Action Comedy Fantasy,,tt0087332,7.8,348438
Ghostbusters,"$8,322,992","1,506","$229,242,989",Jun 8,"Columbia Pictures

",https://www.boxofficemojo.com/release/rl3696592385/,30000000,Action Comedy Fantasy,,tt0087332,7.8,348438
Day of the Dead,"$5,000,000",168,"$5,000,000",Jul 19,-,https://www.boxofficemojo.com/release/rl1498187265/,3500000,Horror Thriller,,tt0088993,7.2,62106
The Company of Wolves,"$4,389,334",995,"$4,389,334",Apr 19,"Cannon Film Distributors

",https://www.boxofficemojo.com/release/rl2219476481/,2000000,Drama Fantasy Horror,,tt0087075,6.7,14676
The Terminator,"$2,425,604","1,112","$38,371,200",Oct 26,"Orion Pictures

",https://www.boxofficemojo.com/release/rl3480585729/,6400000,Action Sci-Fi,,tt0088247,8.0,787561
Re-Animator,"$2,023,414",185,"$2,023,414",Oct 18,"Empire Pictures

",https://www.boxofficemojo.com/release/rl325944833/,900000,Comedy Horror Sci-Fi,,tt0089885,7.2,55027
Revolution,"$104,836",30,"$358,574",Dec 25,"Warner Bros.

",https://www.boxofficemojo.com/release/rl3362620929/,28000000,Adventure Drama History War,PG,tt0089913,5.3,6288
Down and Out in Beverly Hills,"$58,093,661","1,084","$62,134,225",Jan 31,"Walt Disney Studios Motion Pictures

",https://www.boxofficemojo.com/release/rl1917748737/,14000000,Comedy,,tt0090966,6.2,15349
The Great Mouse Detective,"$25,336,794","1,198","$25,336,794",Jul 4,"Walt Disney Studios Motion Pictures

",https://www.boxofficemojo.com/release/rl2941748737/,14000000,Adventure Animation Family Musical Mystery,,tt0091149,7.2,44071
Back to the Future,"$20,028,355","1,550","$210,609,762",Jul 3,"Universal Pictures

",https://www.boxofficemojo.com/release/rl2974385665/,19000000,Adventure Comedy Sci-Fi,,tt0088763,8.5,1033008
Howard the Duck,"$16,295,774","1,563","$16,295,774",Aug 1,"Universal Pictures

",https://www.boxofficemojo.com/release/rl1196983809/,37000000,Action Adventure Comedy Romance Sci-Fi,,tt0091225,4.7,42484
Lady and the Tramp1986 Re-release,"$14,603,174","1,375","$31,129,082",Dec 19,"Walt Disney Studios Motion Pictures

",https://www.boxofficemojo.com/release/rl576685569/,4000000,Adventure Animation Comedy Drama Family Romance,G,tt0048280,7.3,120199
Blue Velvet,"$8,551,228",188,"$8,551,228",Sep 19,"De Laurentiis Entertainment Group (DEG)

",https://www.boxofficemojo.com/release/rl155616769/,6000000,Drama Mystery Thriller,,tt0090756,7.7,177366
The Texas Chainsaw Massacre 2,"$8,025,872","1,474","$8,025,872",Aug 22,"Cannon Film Distributors

",https://www.boxofficemojo.com/release/rl1349944833/,4700000,Comedy Horror,,tt0092076,5.6,27148
Shanghai Surprise,"$2,315,683",401,"$2,315,683",Aug 29,"Metro-Goldwyn-Mayer (MGM)

",https://www.boxofficemojo.com/release/rl4067329537/,17000000,Adventure Comedy Crime Drama Romance,PG-13,tt0091934,3.2,4925
Sky Bandits,"$2,295,500","1,335","$2,295,500",Oct 31,-,https://www.boxofficemojo.com/release/rl3966862849/,18000000,Action Adventure War Western,,tt0091963,4.6,236
Platoon,"$1,757,700","1,564","$138,530,565",Dec 19,"Orion Pictures

",https://www.boxofficemojo.com/release/rl3446179329/,6000000,Drama War,,tt0091763,8.1,374733
Pirates,"$1,641,825","1,108","$1,641,825",Jul 18,"Cannon Film Distributors

",https://www.boxofficemojo.com/release/rl4033381889/,40000000,Adventure Comedy Family,,tt0091757,6.1,7790
Ran,"$1,383,538",30,"$3,607,393",Sep 27,"Orion Classics

",https://www.boxofficemojo.com/release/rl3580528129/,11500000,Action Drama War,,tt0089881,8.2,109690
Santa Claus: The Movie,"$1,102,568","1,585","$23,717,291",Nov 27,"TriStar Pictures

",https://www.boxofficemojo.com/release/rl1114605057/,50000000,Adventure Family Fantasy,,tt0089961,6.3,11197
Revolution,"$253,734",30,"$358,574",Dec 25,"Warner Bros.

",https://www.boxofficemojo.com/release/rl3362620929/,28000000,Adventure Drama History War,PG,tt0089913,5.3,6288
Sid and Nancy,"$75,604",43,"$2,826,523",Oct 17,"The Samuel Goldwyn Company

",https://www.boxofficemojo.com/release/rl1819379201/,4000000,Biography Drama Music Romance,,tt0091954,7.0,29090
A Room with a View,"$74,993",150,"$20,966,644",Mar 7,"Cinecom Pictures

",https://www.boxofficemojo.com/release/rl2890040833/,3000000,Drama Romance,,tt0091867,7.3,38826
Platoon,"$136,772,865","1,564","$138,530,565",Dec 19,"Orion Pictures

",https://www.boxofficemojo.com/release/rl3446179329/,6000000,Drama War,,tt0091763,8.1,374733
Three Men and a Baby,"$70,801,611","1,813","$167,780,960",Nov 25,"Walt Disney Studios Motion Pictures

",https://www.boxofficemojo.com/release/rl3061089793/,11000000,Comedy Drama Family,,tt0094137,6.0,46989
Predator,"$59,735,548","1,636","$59,735,548",Jun 12,"Twentieth Century Fox

",https://www.boxofficemojo.com/release/rl2909505025/,15000000,Action Adventure Sci-Fi Thriller,,tt0093773,7.8,365780
RoboCop,"$53,424,681","1,601","$53,424,681",Jul 17,"Orion Pictures

",https://www.boxofficemojo.com/release/rl1366066689/,13000000,Action Crime Sci-Fi Thriller,,tt0093870,7.5,229063
Dirty Dancing,"$51,610,385","1,012","$63,446,382",Aug 21,"Vestron Pictures

",https://www.boxofficemojo.com/release/rl2505016833/,6000000,Drama Music Romance,,tt0092890,7.0,198345
Snow White and the Seven Dwarfs1987 Re-release,"$46,594,212","1,729","$46,594,212",Jul 17,"Walt Disney Studios Motion Pictures

",https://www.boxofficemojo.com/release/rl1919976961/,1499000,Animation Family Fantasy Musical Romance,Approved,tt0029583,7.6,177946
Full Metal Jacket,"$46,357,676","1,075","$46,357,676",Jun 26,"Warner Bros.

",https://www.boxofficemojo.com/release/rl39159297/,30000000,Drama War,,tt0093058,8.3,661308
The Running Man,"$34,879,267","1,694","$38,122,105",Nov 13,"TriStar Pictures

",https://www.boxofficemojo.com/release/rl829392385/,27000000,Action Sci-Fi Thriller,,tt0093894,6.7,139211
A Room with a View,"$20,569,616",150,"$20,966,644",Mar 7,"Cinecom Pictures

",https://www.boxofficemojo.com/release/rl2890040833/,3000000,Drama Romance,,tt0091867,7.3,38826
Angel Heart,"$17,185,632",819,"$17,185,632",Mar 6,"TriStar Pictures

",https://www.boxofficemojo.com/release/rl3410200065/,17000000,Horror Mystery Thriller,,tt0092563,7.3,78957
Lady and the Tramp1986 Re-release,"$16,525,904","1,375","$31,129,082",Dec 19,"Walt Disney Studios Motion Pictures

",https://www.boxofficemojo.com/release/rl576685569/,4000000,Adventure Animation Comedy Drama Family Romance,G,tt0048280,7.3,120199
Superman IV: The Quest for Peace,"$15,681,020","1,511","$15,681,020",Jul 24,"Warner Bros.

",https://www.boxofficemojo.com/release/rl4101146113/,17000000,Action Adventure Sci-Fi,,tt0094074,3.7,42317
Ishtar,"$14,375,181","1,139","$14,375,181",May 15,"Columbia Pictures

",https://www.boxofficemojo.com/release/rl1264223745/,55000000,Action Adventure Comedy Music Thriller,,tt0093278,4.4,10149
Hollywood Shuffle,"$5,228,617",81,"$5,228,617",Mar 20,"The Samuel Goldwyn Company

",https://www.boxofficemojo.com/release/rl3898181121/,100000,Comedy,,tt0093200,7.0,4925
Near Dark,"$3,369,307",429,"$3,369,307",Oct 2,"De Laurentiis Entertainment Group (DEG)

",https://www.boxofficemojo.com/release/rl2254734849/,5000000,Action Crime Drama Horror Romance Thriller,,tt0093605,7.0,33031
Sid and Nancy,"$2,750,919",43,"$2,826,523",Oct 17,"The Samuel Goldwyn Company

",https://www.boxofficemojo.com/release/rl1819379201/,4000000,Biography Drama Music Romance,,tt0091954,7.0,29090
O.C. and Stiggs,"$29,815",18,"$29,815",Jul 10,"Metro-Goldwyn-Mayer (MGM)

",https://www.boxofficemojo.com/release/rl459703809/,7000000,Comedy Romance,,tt0089715,5.4,1192
Who Framed Roger Rabbit,"$156,452,370","1,598","$156,452,370",Jun 24,"Walt Disney Studios Motion Pictures

",https://www.boxofficemojo.com/release/rl1987806721/,70000000,Adventure Animation Comedy Crime Family Fantasy Mystery,,tt0096438,7.7,179126
Three Men and a Baby,"$90,528,478","1,813","$167,780,960",Nov 25,"Walt Disney Studios Motion Pictures

",https://www.boxofficemojo.com/release/rl3061089793/,11000000,Comedy Drama Family,,tt0094137,6.0,46989
Die Hard,"$83,008,852","1,713","$83,008,852",Jul 15,"Twentieth Century Fox

",https://www.boxofficemojo.com/release/rl2991556097/,28000000,Action Thriller,,tt0095016,8.2,770544
Rambo III,"$53,715,611","2,562","$53,715,611",May 25,"TriStar Pictures

",https://www.boxofficemojo.com/release/rl3714745857/,63000000,Action Adventure,,tt0095956,5.8,120043
Twins,"$49,668,525","1,659","$111,938,388",Dec 9,"Universal Pictures

",https://www.boxofficemojo.com/release/rl2021033473/,15000000,Comedy Crime,,tt0096320,6.1,112164
Rain Man,"$33,222,479","1,590","$172,825,435",Dec 16,"Metro-Goldwyn-Mayer (MGM)

",https://www.boxofficemojo.com/release/rl3999958529/,25000000,Drama,,tt0095953,8.0,466452
Halloween 4: The Return of Michael Myers,"$17,768,757","1,692","$17,768,757",Oct 21,-,https://www.boxofficemojo.com/release/rl945194497/,5000000,Horror Thriller,,tt0095271,5.9,42607
Dirty Dancing,"$8,427,264","1,012","$63,446,382",Aug 21,"Vestron Pictures

",https://www.boxofficemojo.com/release/rl2505016833/,6000000,Drama Music Romance,,tt0092890,7.0,198345
Sunset,"$4,594,452","1,024","$4,594,452",Apr 29,"TriStar Pictures

",https://www.boxofficemojo.com/release/rl2339538433/,16000000,Crime Mystery Thriller Western,,tt0096193,5.7,3784
The Running Man,"$3,242,838","1,694","$38,122,105",Nov 13,"TriStar Pictures

",https://www.boxofficemojo.com/release/rl829392385/,27000000,Action Sci-Fi Thriller,,tt0093894,6.7,139211
White Mischief,"$3,107,551",87,"$3,107,551",Apr 22,"Columbia Pictures

",https://www.boxofficemojo.com/release/rl192644609/,5300000,Crime Drama Mystery Romance Thriller,,tt0094317,6.3,2543
The Lair of the White Worm,"$1,189,315",32,"$1,189,315",Oct 21,"Vestron Pictures

",https://www.boxofficemojo.com/release/rl358581761/,2500000,Comedy Horror,,tt0095488,5.9,9857
Maniac Cop,"$671,382",50,"$671,382",May 13,-,https://www.boxofficemojo.com/release/rl862160385/,1100000,Action Crime Horror Mystery,,tt0095583,6.0,13746
Track 29,"$429,028",13,"$429,028",Sep 9,"Island Pictures

",https://www.boxofficemojo.com/release/rl1232569857/,5000000,Drama Mystery,,tt0096294,5.9,1940
The Decline of Western Civilization Part II: The Metal Years,"$373,743",21,"$373,743",Jun 3,"New Line Cinema

",https://www.boxofficemojo.com/release/rl1818396161/,500000,Documentary Music,,tt0094980,7.2,3359
Prison,"$345,704",42,"$345,704",May 6,"New World Pictures

",https://www.boxofficemojo.com/release/rl3647702529/,4000000,Crime Drama Horror Thriller,,tt0095904,5.8,3798
Batman,"$251,188,924","2,201","$251,188,924",Jun 23,"Warner Bros.

",https://www.boxofficemojo.com/release/rl3695543809/,35000000,Action Adventure,,tt0096895,7.5,333473
Indiana Jones and the Last Crusade,"$197,171,806","2,327","$197,171,806",May 24,"Paramount Pictures

",https://www.boxofficemojo.com/release/rl2539357697/,48000000,Action Adventure,PG-13,tt0097576,8.2,679549
Rain Man,"$139,602,956","1,590","$172,825,435",Dec 16,"Metro-Goldwyn-Mayer (MGM)

",https://www.boxofficemojo.com/release/rl3999958529/,25000000,Drama,,tt0095953,8.0,466452
Back to the Future Part II,"$93,592,195","2,107","$118,450,002",Nov 22,"Universal Pictures

",https://www.boxofficemojo.com/release/rl2991162881/,40000000,Adventure Comedy Sci-Fi,,tt0096874,7.8,470532
Twins,"$62,182,803","1,659","$111,938,388",Dec 9,"Universal Pictures

",https://www.boxofficemojo.com/release/rl2021033473/,15000000,Comedy Crime,,tt0096320,6.1,112164
Peter Pan1989 Re-release,"$29,445,131","1,533","$29,445,131",Jul 14,"Walt Disney Studios Motion Pictures

",https://www.boxofficemojo.com/release/rl1583908353/,4000000,Adventure Animation Family Fantasy Musical,G,tt0046183,7.3,123700
Halloween 5: The Revenge of Michael Myers,"$11,642,254","1,495","$11,642,254",Oct 13,-,https://www.boxofficemojo.com/release/rl961971713/,5000000,Horror Thriller,,tt0095271,5.9,42607
The Adventures of Baron Munchausen,"$8,083,123",120,"$8,083,123",Mar 10,"Columbia Pictures

",https://www.boxofficemojo.com/release/rl1530955265/,46630000,Adventure Comedy Fantasy,,tt0096764,7.2,50044
We're No Angels,"$6,910,853","1,495","$10,555,348",Dec 15,"Paramount Pictures

",https://www.boxofficemojo.com/release/rl2759362049/,20000000,Comedy Crime,,tt0098625,6.2,21353
Drugstore Cowboy,"$4,729,352",87,"$4,729,352",Oct 6,"Avenue Pictures Productions

",https://www.boxofficemojo.com/release/rl2286847489/,2500000,Crime Drama,,tt0097240,7.3,31924
Parents,"$870,532",94,"$870,532",Jan 27,"Vestron Pictures

",https://www.boxofficemojo.com/release/rl2238285313/,3000000,Comedy Horror Mystery,,tt0098068,6.1,6389
Roger & Me,"$285,579",265,"$6,706,368",Dec 22,"Warner Bros.

",https://www.boxofficemojo.com/release/rl2876016129/,160000,Documentary,,tt0098213,7.4,25417
Kill Me Again,"$283,694",221,"$283,694",Oct 27,-,https://www.boxofficemojo.com/release/rl1818002945/,4000000,Action Crime Drama Thriller,,tt0097662,6.3,4408
Henry V,"$207,549",134,"$10,161,099",Nov 8,"The Samuel Goldwyn Company

",https://www.boxofficemojo.com/release/rl475629057/,9000000,Action Biography Drama History Romance War,PG-13,tt0097499,7.5,27852
Ghost,"$205,344,137","1,766","$217,631,306",Jul 13,"Paramount Pictures

",https://www.boxofficemojo.com/release/rl3864364545/,22000000,Drama Fantasy Romance Thriller,,tt0099653,7.0,193373
Pretty Woman,"$170,111,732","1,811","$178,406,268",Mar 23,"Walt Disney Studios Motion Pictures

",https://www.boxofficemojo.com/release/rl2439742977/,14000000,Comedy Romance,R,tt0100405,7.0,282937
Home Alone,"$143,592,523","2,173","$285,761,243",Nov 16,"Twentieth Century Fox

",https://www.boxofficemojo.com/release/rl3629745665/,18000000,Comedy Family,,tt0099785,7.6,453365
