Release,Calendar Gross,Max Theaters,Total Gross,Release Date,Distributor,URL,Budget,Genres,MPAA,IMDB_ID
Minority Report,"$132,072,926","3,001","$132,072,926",Jun 21,"Twentieth Century Fox

",https://www.boxofficemojo.com/release/rl4200760833/,102000000,Action Crime Mystery Sci-Fi Thriller,PG-13,tt0181689
The Ring,"$126,853,967","2,927","$129,128,133",Oct 18,"DreamWorks Distribution

",https://www.boxofficemojo.com/release/rl476874241/,48000000,Horror Mystery,PG-13,tt0298130
Mr. Deeds,"$126,293,452","3,239","$126,293,452",Jun 28,"Sony Pictures Entertainment (SPE)

",https://www.boxofficemojo.com/release/rl2540013057/,50000000,Comedy Romance,PG-13,tt0280590
Sweet Home Alabama,"$125,162,368","3,313","$127,223,418",Sep 27,"Walt Disney Studios Motion Pictures

",https://www.boxofficemojo.com/release/rl846562817/,30000000,Comedy Romance,PG-13,tt0256415
The Bourne Identity,"$121,661,683","2,663","$121,661,683",Jun 14,"Universal Pictures

",https://www.boxofficemojo.com/release/rl2286323201/,60000000,Action Mystery Thriller,PG-13,tt0258463
The Sum of All Fears,"$118,907,036","3,230","$118,907,036",May 31,"Paramount Pictures

",https://www.boxofficemojo.com/release/rl2675082753/,68000000,Action Drama Thriller War,PG-13,tt0164184
8 Mile,"$114,825,865","2,585","$116,750,901",Nov 8,"Universal Pictures

",https://www.boxofficemojo.com/release/rl3326182913/,41000000,Drama Music,R,tt0298203
Black Hawk Down,"$108,417,454","3,143","$108,638,745",Dec 28,"Revolution Studios

",https://www.boxofficemojo.com/release/rl3678897665/,92000000,Drama History War,R,tt0265086
Road to Perdition,"$104,454,762","2,332","$104,454,762",Jul 12,"DreamWorks Distribution

",https://www.boxofficemojo.com/release/rl1668056577/,80000000,Crime Drama Thriller,R,tt0257044
Panic Room,"$96,397,334","3,119","$96,397,334",Mar 29,"Sony Pictures Entertainment (SPE)

",https://www.boxofficemojo.com/release/rl3077146113/,48000000,Crime Drama Thriller,R,tt0258000
Red Dragon,"$93,124,155","3,363","$93,149,898",Oct 4,"Universal Pictures

",https://www.boxofficemojo.com/release/rl1819117057/,78000000,Crime Drama Thriller,R,tt0289765
The Scorpion King,"$91,047,077","3,466","$91,047,077",Apr 19,"Universal Pictures

",https://www.boxofficemojo.com/release/rl3731850753/,60000000,Action Adventure Fantasy,PG-13,tt0277296
Spy Kids 2: Island of Lost Dreams,"$85,426,231","3,307","$85,846,429",Aug 7,"Dimension Films

",https://www.boxofficemojo.com/release/rl1920173569/,38000000,Action Adventure Comedy Family Sci-Fi,PG,tt0287717
Blade II,"$82,348,319","2,707","$82,348,319",Mar 22,"New Line Cinema

",https://www.boxofficemojo.com/release/rl2152171009/,54000000,Action Fantasy Horror Sci-Fi Thriller,R,tt0187738
Snow Dogs,"$81,172,560","2,454","$81,172,560",Jan 18,"Walt Disney Studios Motion Pictures

",https://www.boxofficemojo.com/release/rl91260417/,33000000,Adventure Comedy Family Sport,PG,tt0281373
We Were Soldiers,"$78,122,718","3,143","$78,122,718",Mar 1,"Paramount Pictures

",https://www.boxofficemojo.com/release/rl2339931649/,75000000,Action Drama History War,R,tt0277434
Barbershop,"$75,600,370","2,176","$75,782,105",Sep 13,"Metro-Goldwyn-Mayer (MGM)

",https://www.boxofficemojo.com/release/rl4182083073/,12000000,Comedy Drama,PG-13,tt0303714
The Rookie,"$75,600,072","2,543","$75,600,072",Mar 29,"Walt Disney Studios Motion Pictures

",https://www.boxofficemojo.com/release/rl2204927489/,22000000,Drama Family Sport,,tt0265662
Spirit: Stallion of the Cimarron,"$73,280,117","3,362","$73,280,117",May 24,"DreamWorks Distribution

",https://www.boxofficemojo.com/release/rl410224129/,80000000,Adventure Animation Drama Family Western,G,tt0166813
John Q,"$71,756,802","2,505","$71,756,802",Feb 15,"New Line Cinema

",https://www.boxofficemojo.com/release/rl1683850753/,36000000,Crime Drama Thriller,PG-13,tt0251160
Divine Secrets of the Ya-Ya Sisterhood,"$69,599,016","2,792","$69,599,016",Jun 7,"Warner Bros.

",https://www.boxofficemojo.com/release/rl3847194113/,27000000,Drama,PG-13,tt0279778
Insomnia,"$67,355,513","2,610","$67,355,513",May 24,"Warner Bros.

",https://www.boxofficemojo.com/release/rl3294332417/,46000000,Drama Mystery Thriller,R,tt0278504
Changing Lanes,"$66,818,548","2,642","$66,818,548",Apr 12,"Paramount Pictures

",https://www.boxofficemojo.com/release/rl1011582465/,45000000,Drama Thriller,R,tt0264472
Stuart Little 2,"$64,883,156","3,282","$64,956,806",Jul 19,"Sony Pictures Entertainment (SPE)

",https://www.boxofficemojo.com/release/rl1416791553/,120000000,Adventure Animation Comedy Family Fantasy,PG,tt0243585
Jackass: The Movie,"$64,088,388","2,532","$64,255,312",Oct 25,"Paramount Pictures

",https://www.boxofficemojo.com/release/rl2405074433/,5000000,Action Comedy Documentary,R,tt0322802
Catch Me If You Can,"$62,572,761","3,225","$164,615,351",Dec 25,"DreamWorks Distribution

",https://www.boxofficemojo.com/release/rl2672330241/,52000000,Biography Crime Drama,PG-13,tt0264464
Maid in Manhattan,"$62,130,801","3,050","$94,011,225",Dec 13,"Revolution Studios

",https://www.boxofficemojo.com/release/rl2355136001/,55000000,Comedy Drama Romance,PG-13,tt0252076
The Time Machine,"$56,832,494","2,958","$56,832,494",Mar 8,"DreamWorks Distribution

",https://www.boxofficemojo.com/release/rl4000613889/,80000000,Action Adventure Sci-Fi,PG-13,tt0268695
The Count of Monte Cristo,"$54,234,062","2,211","$54,234,062",Jan 25,"Walt Disney Studios Motion Pictures

",https://www.boxofficemojo.com/release/rl2823456257/,35000000,Action Adventure Drama Thriller,PG-13,tt0245844
Unfaithful,"$52,775,765","2,625","$52,775,765",May 8,"Twentieth Century Fox

",https://www.boxofficemojo.com/release/rl4269180417/,50000000,Drama Romance Thriller,R,tt0250797
Like Mike,"$51,432,760","2,436","$51,432,760",Jul 3,"Twentieth Century Fox

",https://www.boxofficemojo.com/release/rl2220787201/,30000000,Comedy Family Fantasy Sport,PG,tt0308506
Ocean's Eleven,"$51,268,627","3,075","$183,417,150",Dec 7,"Warner Bros.

",https://www.boxofficemojo.com/release/rl409372161/,85000000,Crime Thriller,PG-13,tt0240772
The Tuxedo,"$50,449,608","3,022","$50,547,998",Sep 27,"DreamWorks Distribution

",https://www.boxofficemojo.com/release/rl511084033/,60000000,Action Comedy Sci-Fi,PG-13,tt0290095
Two Weeks Notice,"$50,201,319","2,755","$93,354,851",Dec 20,"Warner Bros.

",https://www.boxofficemojo.com/release/rl1568048641/,60000000,Comedy Romance,PG-13,tt0313737
Peter Pan 2: Return to Never Land,"$48,430,258","2,626","$48,430,258",Feb 15,"Walt Disney Studios Motion Pictures

",https://www.boxofficemojo.com/release/rl4134372865/,20000000,Adventure Animation Family Fantasy,G,tt0280030
Big Fat Liar,"$48,360,547","2,534","$48,360,547",Feb 8,"Universal Pictures

",https://www.boxofficemojo.com/release/rl273122817/,15000000,Adventure Comedy Family,PG,tt0265298
The Royal Tenenbaums,"$43,127,147",999,"$52,364,010",Dec 14,"Walt Disney Studios Motion Pictures

",https://www.boxofficemojo.com/release/rl3865871873/,21000000,Comedy Drama,R,tt0265666
Reign of Fire,"$43,061,982","2,629","$43,061,982",Jul 12,"Walt Disney Studios Motion Pictures

",https://www.boxofficemojo.com/release/rl3211625985/,60000000,Action Adventure Fantasy Thriller,PG-13,tt0253556
High Crimes,"$41,543,917","2,747","$41,543,917",Apr 5,"Twentieth Century Fox

",https://www.boxofficemojo.com/release/rl1398375937/,42000000,Crime Drama Mystery Thriller,PG-13,tt0257756
About a Boy,"$41,385,278","1,756","$41,385,278",May 17,"Universal Pictures

",https://www.boxofficemojo.com/release/rl658540033/,30000000,Comedy Drama Romance,PG-13,tt0276751
A Walk to Remember,"$41,281,092","2,420","$41,281,092",Jan 25,"Warner Bros.

",https://www.boxofficemojo.com/release/rl457541121/,11800000,Drama Romance,PG,tt0281358
Windtalkers,"$40,914,068","2,898","$40,914,068",Jun 14,"Metro-Goldwyn-Mayer (MGM)

",https://www.boxofficemojo.com/release/rl2608563713/,115000000,Action Drama War,R,tt0245562
Gosford Park,"$40,895,232",918,"$41,308,615",Dec 26,"USA Films

",https://www.boxofficemojo.com/release/rl995591681/,19800000,Comedy Drama Mystery,R,tt0280707
Blue Crush,"$40,390,647","3,015","$40,390,647",Aug 16,"Universal Pictures

",https://www.boxofficemojo.com/release/rl591824385/,25000000,Drama Romance Sport,PG-13,tt0300532
The Master of Disguise,"$40,388,794","2,568","$40,388,794",Aug 2,"Revolution Studios

",https://www.boxofficemojo.com/release/rl2472773121/,16000000,Adventure Comedy Family Fantasy,PG,tt0295427
Resident Evil,"$40,119,709","2,528","$40,119,709",Mar 15,"Screen Gems

",https://www.boxofficemojo.com/release/rl2372765185/,33000000,Action Horror Sci-Fi,R,tt0120804
Collateral Damage,"$40,077,257","2,824","$40,077,257",Feb 8,"Warner Bros.

",https://www.boxofficemojo.com/release/rl1347061249/,85000000,Action Drama Thriller,R,tt0233469
Enough,"$40,007,742","2,623","$40,007,742",May 24,"Sony Pictures Entertainment (SPE)

",https://www.boxofficemojo.com/release/rl3813770753/,38000000,Crime Drama Thriller,PG-13,tt0278435
Drumline,"$39,116,389","1,837","$56,399,184",Dec 13,"Twentieth Century Fox

",https://www.boxofficemojo.com/release/rl2320401921/,20000000,Comedy Drama Music Romance,PG-13,tt0303933
